Date,market_price
2024-06-14,117.05
2024-06-14,94.83
2024-06-14,105.3
2024-06-14,101.86
2024-06-14,76.0
2024-06-14,88.95
2024-06-14,83.91
2024-06-14,78.11
2024-06-14,73.87
2024-06-14,49.05
2024-06-14,47.27
2024-06-14,49.44
2024-06-14,64.5
2024-06-14,54.52
2024-06-14,49.3
2024-06-14,44.0
2024-06-14,43.78
2024-06-14,41.95
2024-06-14,38.66
2024-06-14,37.48
2024-06-14,33.96
2024-06-14,31.2
2024-06-14,28.55
2024-06-14,25.71
2024-06-14,22.85
2024-06-14,20.9
2024-06-14,18.23
2024-06-14,15.55
2024-06-14,12.92
2024-06-14,10.88
2024-06-14,7.95
2024-06-14,5.4
2024-06-14,3.2
2024-06-14,1.3
2024-06-14,0.43
2024-06-14,0.11
2024-06-14,0.02
2024-06-14,0.01
2024-06-14,0.01
2024-06-14,0.01
2024-06-14,0.01
2024-06-14,0.01
2024-06-14,0.01
2024-06-14,0.01
2024-06-14,0.01
2024-06-14,0.01
2024-06-14,0.01
2024-06-14,0.01
2024-06-14,0.01
